timestamp,city,green_px,orange_px,red_px,darkred_px,congestion_index,time,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,date,hour,day_name
2026-03-20 03:00:00,surabaya,4096,0,0,0,0.119,2026-03-20 03:00:00,25.1,0.6,3.6,96,2026-03-20,3,Friday
2026-03-20 04:00:00,surabaya,4096,0,0,0,0.165,2026-03-20 04:00:00,25.2,0.1,2.0,95,2026-03-20,4,Friday
2026-03-20 05:00:00,surabaya,3985,111,0,0,0.26,2026-03-20 05:00:00,25.0,0.0,3.9,95,2026-03-20,5,Friday
2026-03-20 06:00:00,surabaya,3589,507,0,0,0.377,2026-03-20 06:00:00,25.2,0.0,4.5,94,2026-03-20,6,Friday
2026-03-20 07:00:00,surabaya,3002,884,210,0,0.72,2026-03-20 07:00:00,26.6,0.0,6.1,85,2026-03-20,7,Friday
2026-03-20 08:00:00,surabaya,2648,1246,202,0,0.685,2026-03-20 08:00:00,28.3,0.0,5.3,78,2026-03-20,8,Friday
2026-03-20 09:00:00,surabaya,3679,417,0,0,0.428,2026-03-20 09:00:00,29.4,0.1,5.3,72,2026-03-20,9,Friday
2026-03-20 10:00:00,surabaya,3803,293,0,0,0.327,2026-03-20 10:00:00,29.9,0.1,6.8,70,2026-03-20,10,Friday
2026-03-20 11:00:00,surabaya,4096,0,0,0,0.112,2026-03-20 11:00:00,30.2,0.1,5.9,70,2026-03-20,11,Friday
2026-03-20 12:00:00,surabaya,4096,0,0,0,0.156,2026-03-20 12:00:00,30.7,0.1,6.3,70,2026-03-20,12,Friday
2026-03-20 13:00:00,surabaya,4004,92,0,0,0.247,2026-03-20 13:00:00,32.0,0.2,5.6,63,2026-03-20,13,Friday
2026-03-20 14:00:00,surabaya,3999,97,0,0,0.238,2026-03-20 14:00:00,30.6,0.0,4.8,65,2026-03-20,14,Friday
2026-03-20 15:00:00,surabaya,3245,851,0,0,0.505,2026-03-20 15:00:00,27.1,2.6,11.2,82,2026-03-20,15,Friday
2026-03-20 16:00:00,surabaya,2794,996,305,0,0.78,2026-03-20 16:00:00,27.9,0.7,7.1,78,2026-03-20,16,Friday
2026-03-20 17:00:00,surabaya,1743,1774,579,0,0.905,2026-03-20 17:00:00,27.8,0.1,2.7,79,2026-03-20,17,Friday
2026-03-20 18:00:00,surabaya,3119,838,139,0,0.681,2026-03-20 18:00:00,27.5,0.0,3.1,81,2026-03-20,18,Friday
2026-03-20 19:00:00,surabaya,3315,781,0,0,0.501,2026-03-20 19:00:00,27.4,0.3,2.9,85,2026-03-20,19,Friday
2026-03-20 20:00:00,surabaya,3627,469,0,0,0.374,2026-03-20 20:00:00,27.2,0.0,2.4,88,2026-03-20,20,Friday
2026-03-20 21:00:00,surabaya,4096,0,0,0,0.075,2026-03-20 21:00:00,26.9,0.0,2.4,90,2026-03-20,21,Friday
2026-03-20 22:00:00,surabaya,4025,71,0,0,0.226,2026-03-20 22:00:00,26.6,1.3,3.6,90,2026-03-20,22,Friday
2026-03-20 23:00:00,surabaya,4096,0,0,0,0.159,2026-03-20 23:00:00,26.5,0.0,1.6,90,2026-03-20,23,Friday
2026-03-21 00:00:00,surabaya,4096,0,0,0,0.138,2026-03-21 00:00:00,26.0,0.0,1.6,92,2026-03-21,0,Saturday
2026-03-21 01:00:00,surabaya,3750,346,0,0,0.323,2026-03-21 01:00:00,26.3,0.0,0.3,89,2026-03-21,1,Saturday
2026-03-21 02:00:00,surabaya,4008,88,0,0,0.241,2026-03-21 02:00:00,26.1,0.7,3.1,85,2026-03-21,2,Saturday
2026-03-21 03:00:00,surabaya,4096,0,0,0,0.1,2026-03-21 03:00:00,25.5,0.1,1.0,93,2026-03-21,3,Saturday
2026-03-21 04:00:00,surabaya,4096,0,0,0,0.198,2026-03-21 04:00:00,25.4,0.1,1.9,93,2026-03-21,4,Saturday
2026-03-21 05:00:00,surabaya,3876,220,0,0,0.28,2026-03-21 05:00:00,25.4,0.1,2.7,94,2026-03-21,5,Saturday
2026-03-21 06:00:00,surabaya,3658,438,0,0,0.354,2026-03-21 06:00:00,25.7,0.1,0.9,93,2026-03-21,6,Saturday
2026-03-21 07:00:00,surabaya,3300,796,0,0,0.562,2026-03-21 07:00:00,26.5,0.0,0.8,88,2026-03-21,7,Saturday
2026-03-21 08:00:00,surabaya,3400,696,0,0,0.51,2026-03-21 08:00:00,28.1,0.0,0.8,80,2026-03-21,8,Saturday
2026-03-21 09:00:00,surabaya,3591,505,0,0,0.413,2026-03-21 09:00:00,29.5,0.0,4.4,71,2026-03-21,9,Saturday
2026-03-21 10:00:00,surabaya,3717,379,0,0,0.342,2026-03-21 10:00:00,30.0,0.3,3.7,66,2026-03-21,10,Saturday
2026-03-21 11:00:00,surabaya,4096,0,0,0,0.147,2026-03-21 11:00:00,30.5,0.3,1.9,64,2026-03-21,11,Saturday
2026-03-21 12:00:00,surabaya,4090,6,0,0,0.202,2026-03-21 12:00:00,30.6,0.2,3.6,66,2026-03-21,12,Saturday
2026-03-21 13:00:00,surabaya,4096,0,0,0,0.171,2026-03-21 13:00:00,30.9,0.3,8.6,64,2026-03-21,13,Saturday
2026-03-21 14:00:00,surabaya,3952,144,0,0,0.267,2026-03-21 14:00:00,28.1,0.6,11.1,79,2026-03-21,14,Saturday
2026-03-21 15:00:00,surabaya,3904,192,0,0,0.288,2026-03-21 15:00:00,28.8,0.0,1.8,77,2026-03-21,15,Saturday
2026-03-21 16:00:00,surabaya,3304,792,0,0,0.481,2026-03-21 16:00:00,29.0,0.0,1.4,77,2026-03-21,16,Saturday
2026-03-21 17:00:00,surabaya,3250,846,0,0,0.596,2026-03-21 17:00:00,27.7,1.9,2.3,85,2026-03-21,17,Saturday
2026-03-21 18:00:00,surabaya,3284,812,0,0,0.586,2026-03-21 18:00:00,27.4,0.2,4.5,82,2026-03-21,18,Saturday
2026-03-21 19:00:00,surabaya,3395,701,0,0,0.46,2026-03-21 19:00:00,25.8,1.1,8.3,91,2026-03-21,19,Saturday
2026-03-21 20:00:00,surabaya,4096,0,0,0,0.161,2026-03-21 20:00:00,25.8,0.0,3.4,91,2026-03-21,20,Saturday
2026-03-21 21:00:00,surabaya,4096,0,0,0,0.147,2026-03-21 21:00:00,25.2,0.2,7.6,93,2026-03-21,21,Saturday
2026-03-21 22:00:00,surabaya,4034,62,0,0,0.231,2026-03-21 22:00:00,25.0,0.0,5.6,91,2026-03-21,22,Saturday
2026-03-21 23:00:00,surabaya,4096,0,0,0,0.047,2026-03-21 23:00:00,24.4,0.5,11.4,92,2026-03-21,23,Saturday
2026-03-22 00:00:00,surabaya,4096,0,0,0,0.188,2026-03-22 00:00:00,23.9,9.5,10.3,94,2026-03-22,0,Sunday
2026-03-22 01:00:00,surabaya,4096,0,0,0,0.176,2026-03-22 01:00:00,24.2,0.1,9.4,94,2026-03-22,1,Sunday
2026-03-22 02:00:00,surabaya,3891,205,0,0,0.291,2026-03-22 02:00:00,24.2,2.9,6.2,95,2026-03-22,2,Sunday
2026-03-22 03:00:00,surabaya,3951,145,0,0,0.253,2026-03-22 03:00:00,24.1,2.9,5.6,96,2026-03-22,3,Sunday
2026-03-22 04:00:00,surabaya,4096,0,0,0,0.172,2026-03-22 04:00:00,24.1,0.4,4.9,96,2026-03-22,4,Sunday
2026-03-22 05:00:00,surabaya,4048,48,0,0,0.218,2026-03-22 05:00:00,24.3,0.6,2.5,95,2026-03-22,5,Sunday
2026-03-22 06:00:00,surabaya,3767,329,0,0,0.351,2026-03-22 06:00:00,24.4,0.3,2.6,96,2026-03-22,6,Sunday
2026-03-22 07:00:00,surabaya,3010,1038,48,0,0.622,2026-03-22 07:00:00,25.5,0.1,2.2,90,2026-03-22,7,Sunday
2026-03-22 08:00:00,surabaya,3536,560,0,0,0.485,2026-03-22 08:00:00,26.6,0.0,2.7,86,2026-03-22,8,Sunday
2026-03-22 09:00:00,surabaya,3752,344,0,0,0.346,2026-03-22 09:00:00,27.8,0.1,3.3,78,2026-03-22,9,Sunday
2026-03-22 10:00:00,surabaya,3938,158,0,0,0.264,2026-03-22 10:00:00,28.5,0.1,3.1,73,2026-03-22,10,Sunday
2026-03-22 11:00:00,surabaya,4096,0,0,0,0.186,2026-03-22 11:00:00,28.2,0.2,2.5,75,2026-03-22,11,Sunday
2026-03-22 12:00:00,surabaya,4096,0,0,0,0.174,2026-03-22 12:00:00,29.1,0.1,1.5,73,2026-03-22,12,Sunday
2026-03-22 13:00:00,surabaya,4096,0,0,0,0.123,2026-03-22 13:00:00,30.9,0.0,2.9,67,2026-03-22,13,Sunday
2026-03-22 14:00:00,surabaya,3996,100,0,0,0.253,2026-03-22 14:00:00,31.0,0.0,3.2,67,2026-03-22,14,Sunday
2026-03-22 15:00:00,surabaya,3712,384,0,0,0.372,2026-03-22 15:00:00,28.2,5.3,8.2,78,2026-03-22,15,Sunday
2026-03-22 16:00:00,surabaya,2942,1117,37,0,0.619,2026-03-22 16:00:00,27.0,2.0,1.5,81,2026-03-22,16,Sunday
2026-03-22 17:00:00,surabaya,2939,1019,138,0,0.672,2026-03-22 17:00:00,25.6,5.1,3.1,89,2026-03-22,17,Sunday
2026-03-22 18:00:00,surabaya,3544,552,0,0,0.53,2026-03-22 18:00:00,25.2,1.2,2.1,87,2026-03-22,18,Sunday
2026-03-22 19:00:00,surabaya,3596,500,0,0,0.419,2026-03-22 19:00:00,26.0,0.1,0.9,88,2026-03-22,19,Sunday
2026-03-22 20:00:00,surabaya,4030,66,0,0,0.23,2026-03-22 20:00:00,26.2,0.0,4.7,88,2026-03-22,20,Sunday
2026-03-22 21:00:00,surabaya,3890,206,0,0,0.274,2026-03-22 21:00:00,26.2,0.0,5.7,89,2026-03-22,21,Sunday
2026-03-22 22:00:00,surabaya,4096,0,0,0,0.185,2026-03-22 22:00:00,26.0,0.0,6.7,90,2026-03-22,22,Sunday
2026-03-22 23:00:00,surabaya,4035,61,0,0,0.224,2026-03-22 23:00:00,26.0,0.0,7.7,90,2026-03-22,23,Sunday
2026-03-23 00:00:00,surabaya,4096,0,0,0,0.06,2026-03-23 00:00:00,25.9,0.0,6.2,91,2026-03-23,0,Monday
2026-03-23 01:00:00,surabaya,4096,0,0,0,0.174,2026-03-23 01:00:00,26.0,0.0,3.2,90,2026-03-23,1,Monday
2026-03-23 02:00:00,surabaya,4096,0,0,0,0.032,2026-03-23 02:00:00,26.1,0.0,4.6,91,2026-03-23,2,Monday
2026-03-23 03:00:00,surabaya,4096,0,0,0,0.009,2026-03-23 03:00:00,25.7,0.0,4.0,93,2026-03-23,3,Monday
2026-03-23 04:00:00,surabaya,4096,0,0,0,0.146,2026-03-23 04:00:00,25.5,0.0,3.8,94,2026-03-23,4,Monday
2026-03-23 05:00:00,surabaya,4096,0,0,0,0.189,2026-03-23 05:00:00,25.5,0.0,3.4,94,2026-03-23,5,Monday
2026-03-23 06:00:00,surabaya,3376,720,0,0,0.496,2026-03-23 06:00:00,25.5,0.0,1.8,94,2026-03-23,6,Monday
2026-03-23 07:00:00,surabaya,1676,2013,407,0,0.911,2026-03-23 07:00:00,26.5,0.0,3.6,91,2026-03-23,7,Monday
2026-03-23 08:00:00,surabaya,2943,971,182,0,0.695,2026-03-23 08:00:00,27.9,0.0,1.6,83,2026-03-23,8,Monday
2026-03-23 09:00:00,surabaya,3527,569,0,0,0.441,2026-03-23 09:00:00,29.1,0.1,1.3,73,2026-03-23,9,Monday
2026-03-23 10:00:00,surabaya,3941,155,0,0,0.268,2026-03-23 10:00:00,30.2,0.1,2.2,67,2026-03-23,10,Monday
2026-03-23 11:00:00,surabaya,4091,5,0,0,0.203,2026-03-23 11:00:00,31.0,0.0,1.0,62,2026-03-23,11,Monday
2026-03-23 12:00:00,surabaya,4096,0,0,0,0.145,2026-03-23 12:00:00,31.7,0.0,2.4,59,2026-03-23,12,Monday
2026-03-23 13:00:00,surabaya,4096,0,0,0,0.169,2026-03-23 13:00:00,32.5,0.1,3.2,54,2026-03-23,13,Monday
2026-03-23 14:00:00,surabaya,3773,323,0,0,0.332,2026-03-23 14:00:00,31.3,0.5,7.4,61,2026-03-23,14,Monday
2026-03-23 15:00:00,surabaya,3189,907,0,0,0.549,2026-03-23 15:00:00,31.0,2.6,6.6,65,2026-03-23,15,Monday
2026-03-23 16:00:00,surabaya,2502,1317,277,0,0.72,2026-03-23 16:00:00,29.9,3.8,5.0,67,2026-03-23,16,Monday
2026-03-23 17:00:00,surabaya,2425,1223,448,0,0.894,2026-03-23 17:00:00,29.6,0.0,5.1,67,2026-03-23,17,Monday
2026-03-23 18:00:00,surabaya,2851,972,274,0,0.769,2026-03-23 18:00:00,28.9,0.0,2.7,75,2026-03-23,18,Monday
2026-03-23 19:00:00,surabaya,3460,636,0,0,0.44,2026-03-23 19:00:00,26.2,2.9,10.5,88,2026-03-23,19,Monday
2026-03-23 20:00:00,surabaya,3845,251,0,0,0.303,2026-03-23 20:00:00,26.3,0.7,4.8,86,2026-03-23,20,Monday
2026-03-23 21:00:00,surabaya,4096,0,0,0,0.123,2026-03-23 21:00:00,26.2,0.0,3.7,89,2026-03-23,21,Monday
2026-03-23 22:00:00,surabaya,4053,43,0,0,0.224,2026-03-23 22:00:00,26.1,0.0,1.5,91,2026-03-23,22,Monday
2026-03-23 23:00:00,surabaya,4096,0,0,0,0.175,2026-03-23 23:00:00,25.9,1.4,2.7,91,2026-03-23,23,Monday
2026-03-24 00:00:00,surabaya,4096,0,0,0,0.17,2026-03-24 00:00:00,25.1,1.8,4.1,96,2026-03-24,0,Tuesday
2026-03-24 01:00:00,surabaya,4096,0,0,0,0.109,2026-03-24 01:00:00,25.1,0.0,4.8,93,2026-03-24,1,Tuesday
2026-03-24 02:00:00,surabaya,4096,0,0,0,0.142,2026-03-24 02:00:00,25.3,0.0,8.5,91,2026-03-24,2,Tuesday
2026-03-24 03:00:00,surabaya,4096,0,0,0,0.012,2026-03-24 03:00:00,25.4,0.0,6.8,91,2026-03-24,3,Tuesday
2026-03-24 04:00:00,surabaya,4096,0,0,0,0.088,2026-03-24 04:00:00,25.3,0.0,7.4,91,2026-03-24,4,Tuesday
2026-03-24 05:00:00,surabaya,3916,180,0,0,0.278,2026-03-24 05:00:00,25.2,0.0,8.8,91,2026-03-24,5,Tuesday
2026-03-24 06:00:00,surabaya,3763,333,0,0,0.335,2026-03-24 06:00:00,25.2,0.0,7.6,90,2026-03-24,6,Tuesday
2026-03-24 07:00:00,surabaya,2221,1525,350,0,0.813,2026-03-24 07:00:00,26.5,0.0,6.0,84,2026-03-24,7,Tuesday
2026-03-24 08:00:00,surabaya,3163,858,75,0,0.631,2026-03-24 08:00:00,28.1,0.0,5.8,78,2026-03-24,8,Tuesday
2026-03-24 09:00:00,surabaya,3342,754,0,0,0.537,2026-03-24 09:00:00,29.5,0.0,7.7,71,2026-03-24,9,Tuesday
2026-03-24 10:00:00,surabaya,4096,0,0,0,0.194,2026-03-24 10:00:00,30.6,0.1,10.8,65,2026-03-24,10,Tuesday
2026-03-24 11:00:00,surabaya,4058,38,0,0,0.223,2026-03-24 11:00:00,31.3,0.0,12.3,63,2026-03-24,11,Tuesday
2026-03-24 12:00:00,surabaya,4096,0,0,0,0.168,2026-03-24 12:00:00,30.2,0.2,13.5,67,2026-03-24,12,Tuesday
2026-03-24 13:00:00,surabaya,4096,0,0,0,0.075,2026-03-24 13:00:00,31.1,0.0,12.9,62,2026-03-24,13,Tuesday
2026-03-24 14:00:00,surabaya,3664,432,0,0,0.368,2026-03-24 14:00:00,30.5,0.2,9.0,68,2026-03-24,14,Tuesday
2026-03-24 15:00:00,surabaya,3398,698,0,0,0.595,2026-03-24 15:00:00,29.0,0.1,8.9,74,2026-03-24,15,Tuesday
2026-03-24 16:00:00,surabaya,2413,1423,260,0,0.792,2026-03-24 16:00:00,27.1,4.7,5.1,78,2026-03-24,16,Tuesday
2026-03-24 17:00:00,surabaya,1741,1745,610,0,0.893,2026-03-24 17:00:00,25.7,1.6,8.0,90,2026-03-24,17,Tuesday
2026-03-24 18:00:00,surabaya,2624,1206,266,0,0.757,2026-03-24 18:00:00,25.7,0.1,4.7,89,2026-03-24,18,Tuesday
2026-03-24 19:00:00,surabaya,3623,473,0,0,0.425,2026-03-24 19:00:00,24.6,0.0,6.6,94,2026-03-24,19,Tuesday
2026-03-24 20:00:00,surabaya,3699,397,0,0,0.357,2026-03-24 20:00:00,25.0,0.1,4.9,91,2026-03-24,20,Tuesday
2026-03-24 21:00:00,surabaya,4096,0,0,0,0.147,2026-03-24 21:00:00,25.0,0.2,2.1,91,2026-03-24,21,Tuesday
2026-03-24 22:00:00,surabaya,4096,0,0,0,0.154,2026-03-24 22:00:00,24.6,0.2,5.3,92,2026-03-24,22,Tuesday
2026-03-24 23:00:00,surabaya,4096,0,0,0,0.097,2026-03-24 23:00:00,24.6,0.2,5.8,92,2026-03-24,23,Tuesday
2026-03-25 00:00:00,surabaya,4096,0,0,0,0.106,2026-03-25 00:00:00,24.8,0.0,6.2,90,2026-03-25,0,Wednesday
2026-03-25 01:00:00,surabaya,4096,0,0,0,0.061,2026-03-25 01:00:00,25.2,0.0,6.9,88,2026-03-25,1,Wednesday
2026-03-25 02:00:00,surabaya,4014,82,0,0,0.238,2026-03-25 02:00:00,25.3,0.0,7.4,89,2026-03-25,2,Wednesday
2026-03-25 03:00:00,surabaya,4096,0,0,0,0.141,2026-03-25 03:00:00,25.1,0.0,7.6,90,2026-03-25,3,Wednesday
2026-03-25 04:00:00,surabaya,4001,95,0,0,0.235,2026-03-25 04:00:00,25.0,0.0,6.8,91,2026-03-25,4,Wednesday
2026-03-25 05:00:00,surabaya,3959,137,0,0,0.253,2026-03-25 05:00:00,24.8,0.0,6.4,92,2026-03-25,5,Wednesday
2026-03-25 06:00:00,surabaya,3480,616,0,0,0.435,2026-03-25 06:00:00,25.0,0.0,6.7,92,2026-03-25,6,Wednesday
2026-03-25 07:00:00,surabaya,2604,1196,296,0,0.731,2026-03-25 07:00:00,26.7,0.0,7.1,86,2026-03-25,7,Wednesday
2026-03-25 08:00:00,surabaya,2878,1014,204,0,0.714,2026-03-25 08:00:00,28.1,0.0,7.3,80,2026-03-25,8,Wednesday
2026-03-25 09:00:00,surabaya,3344,752,0,0,0.485,2026-03-25 09:00:00,29.2,0.0,6.3,74,2026-03-25,9,Wednesday
2026-03-25 10:00:00,surabaya,4050,46,0,0,0.226,2026-03-25 10:00:00,29.3,0.0,11.7,73,2026-03-25,10,Wednesday
2026-03-25 11:00:00,surabaya,4096,0,0,0,0.174,2026-03-25 11:00:00,28.1,4.1,8.6,78,2026-03-25,11,Wednesday
2026-03-25 12:00:00,surabaya,4096,0,0,0,0.062,2026-03-25 12:00:00,29.5,0.1,10.3,74,2026-03-25,12,Wednesday
2026-03-25 13:00:00,surabaya,4096,0,0,0,0.137,2026-03-25 13:00:00,30.6,1.3,12.4,66,2026-03-25,13,Wednesday
2026-03-25 14:00:00,surabaya,3727,369,0,0,0.395,2026-03-25 14:00:00,31.4,0.0,13.8,60,2026-03-25,14,Wednesday
2026-03-25 15:00:00,surabaya,3475,621,0,0,0.452,2026-03-25 15:00:00,30.0,0.7,13.0,67,2026-03-25,15,Wednesday
2026-03-25 16:00:00,surabaya,2540,1355,201,0,0.703,2026-03-25 16:00:00,29.1,1.3,8.3,72,2026-03-25,16,Wednesday
2026-03-25 17:00:00,surabaya,1763,1545,788,0,0.929,2026-03-25 17:00:00,28.0,0.7,8.9,79,2026-03-25,17,Wednesday
2026-03-25 18:00:00,surabaya,2112,1526,457,0,0.866,2026-03-25 18:00:00,26.5,0.1,9.9,86,2026-03-25,18,Wednesday
2026-03-25 19:00:00,surabaya,3613,483,0,0,0.392,2026-03-25 19:00:00,27.0,0.1,5.8,83,2026-03-25,19,Wednesday
2026-03-25 20:00:00,surabaya,3944,152,0,0,0.265,2026-03-25 20:00:00,27.0,0.0,4.2,85,2026-03-25,20,Wednesday
2026-03-25 21:00:00,surabaya,4096,0,0,0,0.139,2026-03-25 21:00:00,26.7,0.0,1.5,86,2026-03-25,21,Wednesday
2026-03-25 22:00:00,surabaya,4096,0,0,0,0.047,2026-03-25 22:00:00,25.2,1.9,15.3,91,2026-03-25,22,Wednesday
2026-03-25 23:00:00,surabaya,4083,13,0,0,0.205,2026-03-25 23:00:00,24.3,0.4,9.8,91,2026-03-25,23,Wednesday
2026-03-26 00:00:00,surabaya,4096,0,0,0,0.149,2026-03-26 00:00:00,24.3,0.1,6.2,91,2026-03-26,0,Thursday
2026-03-26 01:00:00,surabaya,4096,0,0,0,0.155,2026-03-26 01:00:00,25.0,0.0,4.6,91,2026-03-26,1,Thursday
2026-03-26 02:00:00,surabaya,4096,0,0,0,0.097,2026-03-26 02:00:00,24.6,0.0,2.6,95,2026-03-26,2,Thursday
2026-03-26 03:00:00,surabaya,4096,0,0,0,0.183,2026-03-26 03:00:00,24.5,0.0,2.7,95,2026-03-26,3,Thursday
2026-03-26 04:00:00,surabaya,4096,0,0,0,0.13,2026-03-26 04:00:00,24.7,0.0,6.0,94,2026-03-26,4,Thursday
2026-03-26 05:00:00,surabaya,3983,113,0,0,0.243,2026-03-26 05:00:00,24.5,0.1,6.9,93,2026-03-26,5,Thursday
2026-03-26 06:00:00,surabaya,3699,397,0,0,0.407,2026-03-26 06:00:00,24.4,0.1,6.5,92,2026-03-26,6,Thursday
2026-03-26 07:00:00,surabaya,2991,1019,86,0,0.669,2026-03-26 07:00:00,26.3,0.0,3.3,87,2026-03-26,7,Thursday
2026-03-26 08:00:00,surabaya,1836,1764,496,0,0.847,2026-03-26 08:00:00,27.8,0.0,3.1,82,2026-03-26,8,Thursday
2026-03-26 09:00:00,surabaya,3644,452,0,0,0.449,2026-03-26 09:00:00,29.1,0.0,6.3,78,2026-03-26,9,Thursday
2026-03-26 10:00:00,surabaya,3916,180,0,0,0.273,2026-03-26 10:00:00,30.3,0.0,8.1,73,2026-03-26,10,Thursday
2026-03-26 11:00:00,surabaya,4096,0,0,0,0.166,2026-03-26 11:00:00,31.0,0.1,10.6,68,2026-03-26,11,Thursday
2026-03-26 12:00:00,surabaya,4096,0,0,0,0.126,2026-03-26 12:00:00,31.5,0.0,9.5,65,2026-03-26,12,Thursday
2026-03-26 13:00:00,surabaya,4096,0,0,0,0.17,2026-03-26 13:00:00,28.2,3.1,16.7,75,2026-03-26,13,Thursday
2026-03-26 14:00:00,surabaya,3765,331,0,0,0.325,2026-03-26 14:00:00,29.9,0.2,11.7,70,2026-03-26,14,Thursday
2026-03-26 15:00:00,surabaya,3365,731,0,0,0.482,2026-03-26 15:00:00,28.0,1.2,13.4,78,2026-03-26,15,Thursday
2026-03-26 16:00:00,surabaya,2455,1275,367,0,0.76,2026-03-26 16:00:00,27.5,0.5,12.4,79,2026-03-26,16,Thursday
2026-03-26 17:00:00,surabaya,1965,1622,509,0,0.903,2026-03-26 17:00:00,26.9,0.2,5.6,82,2026-03-26,17,Thursday
2026-03-26 18:00:00,surabaya,2438,1202,455,0,0.85,2026-03-26 18:00:00,26.6,0.1,5.7,85,2026-03-26,18,Thursday
2026-03-26 19:00:00,surabaya,3487,609,0,0,0.542,2026-03-26 19:00:00,26.9,0.1,4.8,87,2026-03-26,19,Thursday
2026-03-26 20:00:00,surabaya,3825,271,0,0,0.306,2026-03-26 20:00:00,26.8,0.0,4.1,88,2026-03-26,20,Thursday
2026-03-26 21:00:00,surabaya,4096,0,0,0,0.144,2026-03-26 21:00:00,26.5,0.0,4.7,90,2026-03-26,21,Thursday
2026-03-26 22:00:00,surabaya,4096,0,0,0,0.059,2026-03-26 22:00:00,26.2,0.0,3.1,91,2026-03-26,22,Thursday
2026-03-26 23:00:00,surabaya,4064,32,0,0,0.217,2026-03-26 23:00:00,26.0,0.0,3.1,93,2026-03-26,23,Thursday
